x,x,z,p,p
,,,,
http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcPropertySet_211,http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcPropertySet_211,http://www.buildingsmart-tech.org/ifcOWL/IFC2X3_TC1#hasProperties_IfcPropertySet,http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcPropertySingleValue_188,http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcPropertySingleValue_188
http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcPropertySingleValue_188,http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcPropertySingleValue_188,http://www.buildingsmart-tech.org/ifcOWL/IFC2X3_TC1#nominalValue_IfcPropertySingleValue,http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcLabel_38315,http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcLabel_38315
http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcLabel_38315,http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcLabel_38315,https://w3id.org/express#hasString,Level 2,Level 2
,,,,
http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcPropertySet_375,http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcPropertySet_375,http://www.buildingsmart-tech.org/ifcOWL/IFC2X3_TC1#hasProperties_IfcPropertySet,http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcPropertySingleValue_188,http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcPropertySingleValue_188
http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcPropertySingleValue_188,http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcPropertySingleValue_188,http://www.buildingsmart-tech.org/ifcOWL/IFC2X3_TC1#nominalValue_IfcPropertySingleValue,http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcLabel_38315,http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcLabel_38315
http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcLabel_38315,http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcLabel_38315,https://w3id.org/express#hasString,Level 2,Level 2
,,,,
http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcPropertySet_538,http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcPropertySet_538,http://www.buildingsmart-tech.org/ifcOWL/IFC2X3_TC1#hasProperties_IfcPropertySet,http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcPropertySingleValue_188,http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcPropertySingleValue_188
